frame,current_count,total_unique
464,13,25
465,13,25
466,13,25
467,13,25
468,13,25
469,13,25
470,13,25
471,13,25
472,13,25
473,13,25
474,13,25
475,13,25
476,13,25
477,13,25
478,13,25
479,13,25
480,14,25
481,14,25
482,14,25
483,14,25
484,14,25
485,15,26
486,15,26
487,15,26
488,15,26
489,14,26
490,14,26
491,15,26
492,14,26
493,14,26
494,14,26
495,14,26
496,14,26
497,14,26
498,14,26
499,14,26
500,14,26
501,14,26
502,14,26
503,14,26
504,14,26
505,14,26
506,14,26
507,14,26
508,14,26
509,14,26
510,14,26
511,14,26
512,14,26
513,14,26
514,14,26
515,14,26
516,14,26
517,14,26
518,14,26
519,14,26
520,14,26
521,13,26
522,13,26
523,13,26
524,13,26
525,13,26
526,13,26
527,13,26
528,13,26
529,13,26
530,13,26
531,13,26
532,13,26
533,13,26
534,13,26
535,13,26
536,13,26
537,13,26
538,13,26
539,13,26
540,14,26
541,14,26
542,14,26
543,14,26
544,14,26
545,14,26
546,14,26
547,14,26
548,15,27
549,15,27
550,15,27
551,15,27
552,15,27
553,15,27
554,15,27
555,15,27
556,15,27
557,15,27
558,15,27
559,15,27
560,14,27
561,14,27
562,14,27
563,14,27
564,14,27
565,14,27
566,14,27
567,14,27
568,14,27
569,14,27
570,14,27
571,14,27
572,14,27
573,14,27
574,14,27
575,14,27
576,14,27
577,14,27
578,14,27
579,14,27
580,14,27
581,14,27
582,14,27
583,14,27
584,14,27
585,14,27
586,14,27
587,14,27
588,14,27
589,14,27
590,14,27
591,14,27
592,14,27
593,14,27
594,14,27
595,14,27
596,14,27
597,14,27
598,14,27
599,14,27
600,14,27
601,14,27
602,14,27
603,14,27
604,14,27
605,14,27
606,14,27
607,14,27
608,14,27
609,14,27
610,14,27
611,14,27
612,14,27
613,14,27
614,14,27
615,14,27
616,14,27
617,14,27
618,14,27
619,14,27
620,14,27
621,14,27
622,14,27
623,14,27
624,14,27
625,14,27
626,14,27
627,14,27
628,14,27
629,14,27
630,14,27
631,14,27
632,14,27
633,14,27
634,14,27
635,14,27
636,14,27
637,14,27
638,14,27
639,14,27
640,14,27
641,14,27
642,14,27
643,14,27
644,14,27
645,14,27
646,14,27
647,14,27
648,14,27
649,14,27
650,14,27
651,15,28
652,15,28
653,15,28
654,15,28
655,15,28
656,15,28
657,15,28
658,15,28
659,15,28
660,14,28
661,15,29
662,15,29
663,15,29
664,15,29
665,15,29
666,15,29
667,15,29
668,15,29
669,15,29
670,14,29
671,15,29
672,15,29
673,15,29
674,15,29
675,14,29
676,14,29
677,15,29
678,14,29
679,14,29
680,14,29
681,14,29
682,15,29
683,14,29
684,14,29
685,14,29
686,14,29
687,15,29
688,15,29
689,15,29
690,15,29
691,15,29
692,14,29
693,14,29
694,15,29
695,15,29
696,15,29
697,15,29
698,15,29
699,15,29
700,15,29
701,15,29
702,15,29
703,14,29
704,15,29
705,15,29
706,14,29
707,15,29
708,15,29
709,14,29
710,15,29
711,15,29
712,15,29
713,14,29
714,14,29
715,14,29
716,14,29
717,14,29
718,14,29
719,14,29
720,14,29
721,14,29
722,14,29
723,14,29
724,14,29
725,14,29
726,14,29
727,14,29
728,14,29
729,14,29
730,14,29
731,14,29
732,14,29
733,14,29
734,14,29
735,14,29
736,14,29
737,14,29
738,14,29
739,14,29
740,14,29
741,14,29
742,14,29
743,14,29
744,14,29
745,14,29
746,14,29
747,14,29
748,14,29
749,14,29
750,14,29
751,14,29
752,14,29
753,14,29
754,14,29
755,14,29
756,14,29
757,14,29
758,14,29
759,14,29
760,14,29
761,14,29
762,14,29
763,14,29
764,14,29
765,14,29
766,14,29
767,14,29
768,14,29
769,14,29
770,14,29
771,14,29
772,14,29
773,14,29
774,14,29
775,14,29
776,15,30
777,15,30
778,15,30
779,15,30
780,15,30
781,15,30
782,15,30
783,15,30
784,15,30
785,15,30
786,15,30
787,15,30
788,15,30
789,15,30
790,15,30
791,15,30
792,14,30
793,14,30
794,14,30
795,15,30
796,14,30
797,14,30
798,15,30
799,15,30
800,14,30
801,14,30
802,14,30
803,14,30
804,14,30
805,14,30
806,14,30
807,14,30
808,14,30
809,14,30
810,14,30
811,14,30
812,14,30
813,14,30
814,14,30
815,14,30
816,14,30
817,14,30
818,14,30
819,14,30
820,14,30
821,14,30
822,14,30
823,14,30
824,14,30
825,14,30
826,14,30
827,15,30
828,14,30
829,14,30
830,15,30
831,14,30
832,14,30
833,14,30
834,15,30
835,14,30
836,15,30
837,14,30
838,15,30
839,15,30
840,15,30
841,15,30
842,15,30
843,15,30
844,15,30
845,15,30
846,15,30
847,15,30
848,15,30
849,15,30
850,15,30
851,15,30
852,15,30
853,15,30
854,15,30
855,15,30
856,15,30
857,15,30
858,15,30
859,15,30
860,15,30
861,15,30
862,15,30
863,15,30
864,15,30
865,15,30
866,15,30
867,15,30
868,15,30
869,15,30
870,15,30
871,15,30
872,16,31
873,16,31
874,16,31
875,16,31
876,16,31
877,17,32
878,17,32
879,17,32
880,17,32
881,17,32
882,17,32
883,16,32
884,16,32
885,16,32
886,16,32
887,16,32
888,16,32
889,16,32
890,16,32
891,16,32
892,16,32
893,16,32
894,16,32
895,16,32
896,16,32
897,16,32
898,17,33
899,17,33
900,17,33
901,18,33
902,18,33
903,18,33
904,17,33
905,18,33
906,18,33
907,18,33
908,18,33
909,18,33
910,18,33
911,17,33
912,17,33
913,18,34
914,17,34
915,17,34
916,18,34
917,18,34
918,18,34
919,18,34
920,18,34
921,18,34
922,19,35
923,19,35
924,19,35
925,19,35
926,19,35
927,19,35
928,19,35
929,18,35
930,18,35
931,18,35
932,18,35
933,18,35
934,18,35
935,18,35
936,18,35
937,19,35
938,19,35
939,18,35
940,18,35
941,18,35
942,18,35
943,18,35
944,18,35
945,17,35
946,17,35
947,17,35
948,17,35
949,17,35
950,17,35
951,17,35
952,17,35
953,17,35
954,17,35
955,18,35
956,18,35
957,18,35
958,18,35
959,18,35
960,18,35
961,18,35
962,18,35
963,18,35
964,18,36
965,17,36
966,17,36
967,18,36
968,18,36
969,18,36
970,19,36
971,18,36
972,18,36
973,18,36
974,18,36
975,17,36
976,17,36
977,17,36
978,17,36
979,17,36
980,17,36
981,17,36
982,17,36
983,16,36
984,17,36
985,17,36
986,17,36
987,17,36
988,17,36
989,17,36
990,17,36
991,17,36
992,17,36
993,17,36
994,17,36
995,18,36
996,18,36
997,18,36
998,18,36
999,18,36
1000,18,36
1001,17,36
1002,17,36
1003,17,36
1004,17,36
1005,17,36
1006,17,36
1007,17,36
1008,17,36
1009,17,36
1010,18,36
1011,18,36
1012,18,36
1013,18,36
1014,18,36
1015,17,36
1016,18,36
1017,17,36
1018,17,36
1019,17,36
1020,18,36
1021,19,37
1022,19,37
1023,19,37
1024,19,37
1025,19,37
1026,19,37
1027,19,37
1028,19,37
1029,19,37
1030,19,37
1031,19,37
1032,19,37
1033,19,37
1034,19,37
1035,19,37
1036,19,37
1037,19,37
1038,19,37
1039,19,37
1040,19,37
1041,19,37
1042,19,37
1043,19,37
1044,19,37
1045,19,37
1046,19,37
1047,19,37
1048,19,37
1049,19,37
1050,19,37
1051,19,37
1052,19,37
1053,19,37
1054,19,37
1055,19,37
1056,19,37
1057,19,37
1058,19,37
1059,19,37
1060,19,37
1061,19,37
1062,19,37
1063,19,37
1064,19,37
1065,19,37
1066,19,37
1067,19,37
1068,19,37
1069,19,37
1070,19,37
1071,19,37
1072,19,37
1073,19,37
1074,19,37
1075,19,37
1076,19,37
1077,19,37
1078,19,37
1079,19,37
1080,19,37
1081,19,37
1082,19,37
1083,19,37
1084,19,37
1085,19,37
1086,19,37
1087,19,37
1088,19,37
1089,19,37
1090,19,37
1091,19,37
1092,19,37
1093,19,37
1094,19,37
1095,19,37
1096,19,37
1097,19,37
1098,19,37
1099,19,37
1100,19,37
1101,19,37
1102,19,37
1103,19,37
1104,19,37
1105,19,37
1106,19,37
1107,19,37
1108,19,37
1109,19,37
1110,19,37
1111,19,37
1112,19,37
1113,19,37
1114,19,37
1115,19,37
1116,19,37
1117,19,37
1118,19,37
1119,19,37
1120,19,37
1121,19,37
1122,19,37
1123,19,37
1124,19,37
1125,19,37
1126,19,37
1127,19,37
1128,19,37
1129,19,37
1130,19,37
1131,19,37
1132,19,37
1133,19,37
1134,19,37
1135,19,37
1136,19,37
1137,19,37
1138,19,37
1139,19,37
1140,19,37
1141,19,37
1142,19,37
1143,19,37
1144,19,37
1145,19,37
1146,19,37
1147,19,37
1148,19,37
1149,19,37
1150,19,37
1151,19,37
1152,19,37
1153,19,37
1154,19,37
1155,19,37
1156,19,37
1157,19,37
1158,19,37
1159,19,37
